Date,Open,High,Low,Close,Adj Close,Volume
2019-12-19,14.098000,14.100000,10.500000,14.000000,14.000000,74775
2019-12-20,14.000000,14.250000,13.500000,13.500000,13.500000,23652
2019-12-23,13.000000,13.500000,13.000000,13.500000,13.500000,703
2019-12-27,13.500000,13.500000,12.500000,12.500000,12.500000,6178
2019-12-30,12.500000,12.500000,12.500000,12.500000,12.500000,1496
2020-01-02,12.500000,12.500000,11.350000,11.500000,11.500000,3981
2020-01-03,11.350000,12.000000,11.000000,12.000000,12.000000,15316
2020-01-07,12.300000,12.300000,12.000000,12.000000,12.000000,2008
2020-01-08,11.650000,11.650000,11.000000,11.000000,11.000000,10288
2020-01-09,11.000000,11.000000,10.000000,10.500000,10.500000,12593
2020-01-10,10.550000,10.550000,10.300000,10.400000,10.400000,3027
2020-01-13,10.400000,10.400000,9.700000,9.700000,9.700000,3789
2020-01-14,9.400000,9.660000,9.120000,9.120000,9.120000,8202
2020-01-15,8.800000,8.840000,8.400000,8.600000,8.600000,14120
2020-01-16,8.400000,8.400000,8.000000,8.320000,8.320000,4228
2020-01-17,8.520000,9.000000,8.400000,8.500000,8.500000,11682
2020-01-20,8.300000,8.320000,8.000000,8.100000,8.100000,5549
2020-01-21,8.000000,8.100000,8.000000,8.000000,8.000000,5675
2020-01-22,7.800000,7.800000,7.800000,7.800000,7.800000,3134
2020-01-23,7.800000,8.300000,7.800000,8.000000,8.000000,30257
2020-01-24,8.100000,8.200000,7.950000,8.100000,8.100000,8603
2020-01-27,8.050000,8.050000,8.050000,8.050000,8.050000,121
2020-01-28,8.100000,8.750000,8.100000,8.750000,8.750000,5353
2020-01-29,9.100000,10.000000,9.100000,9.900000,9.900000,17676
2020-01-30,9.980000,10.600000,9.620000,9.700000,9.700000,12923
2020-01-31,9.880000,9.880000,9.880000,9.880000,9.880000,1011
2020-02-03,9.880000,9.880000,9.880000,9.880000,9.880000,0
2020-02-04,9.880000,9.880000,9.600000,9.680000,9.680000,2933
2020-02-05,9.680000,9.680000,9.340000,9.340000,9.340000,992
2020-02-06,9.300000,9.300000,9.300000,9.300000,9.300000,1234
2020-02-07,9.300000,9.300000,9.300000,9.300000,9.300000,0
2020-02-10,9.460000,9.780000,9.400000,9.780000,9.780000,6172
2020-02-11,9.780000,9.780000,9.780000,9.780000,9.780000,1
2020-02-12,9.780000,9.780000,9.620000,9.620000,9.620000,1444
2020-02-13,9.620000,9.620000,9.620000,9.620000,9.620000,0
2020-02-14,9.620000,9.620000,9.620000,9.620000,9.620000,0
2020-02-17,9.620000,9.880000,9.620000,9.880000,9.880000,485
2020-02-18,9.880000,9.880000,9.880000,9.880000,9.880000,0
2020-02-19,9.880000,9.880000,9.880000,9.880000,9.880000,1719
2020-02-20,10.200000,10.400000,10.050000,10.050000,10.050000,3074
2020-02-21,10.050000,10.050000,10.050000,10.050000,10.050000,0
2020-02-24,10.050000,10.050000,10.000000,10.000000,10.000000,3500
2020-02-25,9.880000,9.880000,9.880000,9.880000,9.880000,1095
2020-02-26,10.150000,11.000000,10.050000,10.850000,10.850000,44569
2020-02-27,11.000000,11.000000,9.620000,9.620000,9.620000,11120
2020-02-28,9.600000,9.600000,9.600000,9.600000,9.600000,326
2020-03-02,9.600000,9.600000,9.600000,9.600000,9.600000,0
2020-03-03,9.700000,9.700000,9.400000,9.400000,9.400000,2596
2020-03-04,9.500000,9.500000,9.500000,9.500000,9.500000,25000
2020-03-05,9.500000,9.500000,9.500000,9.500000,9.500000,0
2020-03-06,9.200000,9.200000,9.180000,9.180000,9.180000,1475
2020-03-09,9.200000,10.000000,8.500000,8.500000,8.500000,7700
2020-03-10,10.000000,10.000000,9.740000,9.740000,9.740000,2000
2020-03-11,9.740000,9.740000,9.740000,9.740000,9.740000,100
2020-03-12,9.740000,9.740000,9.740000,9.740000,9.740000,0
2020-03-13,9.740000,9.740000,9.740000,9.740000,9.740000,0
2020-03-16,8.000000,8.000000,8.000000,8.000000,8.000000,312
2020-03-17,8.000000,8.000000,8.000000,8.000000,8.000000,0
2020-03-18,8.000000,8.000000,8.000000,8.000000,8.000000,0
2020-03-19,7.500000,7.500000,7.500000,7.500000,7.500000,1625
2020-03-20,7.500000,7.500000,7.500000,7.500000,7.500000,80
2020-03-23,7.500000,7.500000,7.500000,7.500000,7.500000,0
2020-03-24,6.520000,7.000000,6.520000,7.000000,7.000000,350
2020-03-25,7.000000,7.000000,7.000000,7.000000,7.000000,0
2020-03-26,7.280000,7.280000,7.280000,7.280000,7.280000,250
2020-03-27,7.180000,7.180000,7.180000,7.180000,7.180000,37
2020-03-30,7.280000,7.280000,7.000000,7.000000,7.000000,680
2020-03-31,7.200000,7.200000,7.080000,7.100000,7.100000,3348
2020-04-01,7.100000,7.100000,7.100000,7.100000,7.100000,0
2020-04-02,7.100000,7.100000,7.100000,7.100000,7.100000,0
2020-04-03,6.520000,7.200000,6.520000,7.200000,7.200000,172
2020-04-06,7.000000,7.000000,7.000000,7.000000,7.000000,1100
2020-04-07,7.280000,7.280000,7.280000,7.280000,7.280000,428
2020-04-08,6.800000,6.800000,6.800000,6.800000,6.800000,2000
2020-04-09,6.900000,6.900000,6.900000,6.900000,6.900000,589
2020-04-14,6.900000,6.900000,6.900000,6.900000,6.900000,0
2020-04-15,6.800000,6.800000,6.800000,6.800000,6.800000,250
2020-04-16,6.800000,6.800000,6.800000,6.800000,6.800000,570
2020-04-17,6.800000,6.800000,6.800000,6.800000,6.800000,73
2020-04-20,6.800000,6.800000,6.600000,6.760000,6.760000,1715
2020-04-21,6.500000,6.500000,6.500000,6.500000,6.500000,273
2020-04-22,6.540000,6.540000,6.540000,6.540000,6.540000,2000
2020-04-23,6.760000,6.760000,6.500000,6.500000,6.500000,10826
2020-04-24,6.500000,6.500000,6.500000,6.500000,6.500000,0
2020-04-27,6.500000,6.500000,6.500000,6.500000,6.500000,0
2020-04-28,6.740000,6.740000,6.740000,6.740000,6.740000,300
2020-04-29,6.760000,6.760000,6.740000,6.740000,6.740000,750
2020-04-30,6.740000,6.740000,6.740000,6.740000,6.740000,0
2020-05-04,6.740000,6.740000,6.740000,6.740000,6.740000,0
2020-05-05,6.740000,6.740000,6.740000,6.740000,6.740000,0
2020-05-06,6.740000,6.740000,6.740000,6.740000,6.740000,0
2020-05-07,6.540000,6.540000,6.460000,6.460000,6.460000,5358
2020-05-08,6.460000,6.460000,6.460000,6.460000,6.460000,0
2020-05-11,6.460000,6.460000,6.460000,6.460000,6.460000,0
2020-05-12,6.240000,6.240000,6.240000,6.240000,6.240000,3454
2020-05-13,6.300000,6.300000,6.300000,6.300000,6.300000,2000
2020-05-14,6.240000,6.240000,6.240000,6.240000,6.240000,1000
2020-05-15,6.260000,6.260000,6.240000,6.240000,6.240000,250
2020-05-18,6.380000,6.380000,6.380000,6.380000,6.380000,2552
2020-05-19,6.540000,6.540000,6.540000,6.540000,6.540000,500
2020-05-20,6.540000,6.540000,6.540000,6.540000,6.540000,0
2020-05-22,6.540000,6.540000,6.540000,6.540000,6.540000,0
2020-05-25,6.540000,6.540000,6.540000,6.540000,6.540000,700
2020-05-26,6.540000,6.540000,6.540000,6.540000,6.540000,0
2020-05-27,6.540000,6.540000,6.540000,6.540000,6.540000,932
2020-05-28,6.540000,6.540000,6.540000,6.540000,6.540000,0
2020-05-29,6.540000,6.540000,6.540000,6.540000,6.540000,0
2020-06-01,6.380000,6.500000,6.380000,6.500000,6.500000,288
2020-06-02,6.540000,6.560000,6.520000,6.520000,6.520000,4709
2020-06-03,6.520000,6.520000,6.520000,6.520000,6.520000,0
2020-06-04,6.520000,6.520000,6.520000,6.520000,6.520000,0
2020-06-05,6.520000,6.520000,6.520000,6.520000,6.520000,100
2020-06-08,6.720000,6.860000,6.720000,6.800000,6.800000,3439
2020-06-09,6.840000,9.500000,6.600000,7.600000,7.600000,31630
2020-06-10,8.000000,12.000000,7.600000,9.300000,9.300000,43780
2020-06-11,9.500000,9.500000,9.140000,9.140000,9.140000,355
2020-06-12,9.140000,9.200000,8.800000,9.080000,9.080000,4446
2020-06-15,8.740000,8.840000,8.500000,8.500000,8.500000,2669
2020-06-16,8.280000,8.280000,8.280000,8.280000,8.280000,137
2020-06-17,8.360000,8.400000,8.300000,8.300000,8.300000,5948
2020-06-18,8.000000,8.000000,7.800000,7.800000,7.800000,3469
2020-06-22,7.800000,8.100000,7.720000,7.820000,7.820000,6798
2020-06-23,7.900000,8.100000,7.900000,8.100000,8.100000,1730
2020-06-24,8.000000,8.000000,8.000000,8.000000,8.000000,627
2020-06-25,8.000000,8.000000,7.800000,7.800000,7.800000,1475
2020-06-26,7.720000,7.980000,7.720000,7.980000,7.980000,100
2020-06-29,7.700000,7.700000,7.700000,7.700000,7.700000,705
2020-06-30,7.700000,7.700000,7.700000,7.700000,7.700000,0
2020-07-01,7.700000,7.700000,7.700000,7.700000,7.700000,0
2020-07-02,7.700000,7.700000,7.700000,7.700000,7.700000,0
2020-07-03,7.700000,7.700000,7.700000,7.700000,7.700000,0
2020-07-06,7.700000,7.700000,7.580000,7.580000,7.580000,2359
2020-07-07,7.420000,7.680000,7.420000,7.420000,7.420000,66
2020-07-08,7.560000,7.560000,7.300000,7.300000,7.300000,2134
2020-07-09,7.320000,7.320000,7.300000,7.300000,7.300000,65
2020-07-10,7.280000,7.280000,7.280000,7.280000,7.280000,82
2020-07-13,7.280000,7.280000,7.060000,7.060000,7.060000,1700
2020-07-14,7.000000,7.060000,7.000000,7.060000,7.060000,3471
2020-07-15,7.280000,7.680000,7.280000,7.680000,7.680000,6021
2020-07-16,8.000000,8.400000,7.920000,8.400000,8.400000,5721
2020-07-17,8.300000,8.860000,8.300000,8.860000,8.860000,5640
2020-07-20,8.840000,9.000000,8.840000,9.000000,9.000000,1520
2020-07-21,9.000000,9.000000,9.000000,9.000000,9.000000,1426
2020-07-22,9.000000,9.200000,8.900000,9.000000,9.000000,19856
2020-07-23,9.240000,12.000000,9.240000,10.300000,10.300000,9491
2020-07-24,10.300000,11.500000,10.300000,11.000000,11.000000,11160
2020-07-27,11.000000,11.000000,10.600000,10.600000,10.600000,5420
2020-07-28,10.250000,10.600000,10.100000,10.100000,10.100000,3582
2020-07-29,10.300000,11.000000,10.300000,10.600000,10.600000,2393
2020-07-30,11.000000,11.000000,9.620000,9.620000,9.620000,11674
2020-07-31,9.400000,9.680000,9.400000,9.680000,9.680000,2823
2020-08-03,9.680000,9.900000,9.680000,9.900000,9.900000,2054
2020-08-04,9.600000,9.980000,9.600000,9.980000,9.980000,1811
2020-08-05,10.200000,11.500000,10.200000,11.500000,11.500000,9480
